Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales
ICBC,Financials,Major Banks,Asia,China,215.6,148.7,42.7,3124.9,1,http://www.forbes.com/companies/icbc/,0.0136644372619924,0.287155346334903
China Construction Bank,Financials,Regional Banks,Asia,China,174.4,121.3,34.2,2449.5,2,http://www.forbes.com/companies/china-construction-bank/,0.0139620330679731,0.28194558944765
Agricultural Bank of China,Financials,Regional Banks,Asia,China,141.1,136.4,27,2405.4,3,http://www.forbes.com/companies/agricultural-bank-of-china/,0.0112247443252681,0.197947214076246
JPMorgan Chase,Financials,Major Banks,North America,United States,229.7,105.7,17.3,2435.3,4,http://www.forbes.com/companies/jpmorgan-chase/,0.0071038475752474,0.163670766319773
Berkshire Hathaway,Financials,Investment Services,North America,United States,309.1,178.8,19.5,493.4,5,http://www.forbes.com/companies/berkshire-hathaway/,0.0395216862586137,0.109060402684564
Exxon Mobil,Energy,Oil & Gas Operations,North America,United States,422.3,394,32.6,346.8,6,http://www.forbes.com/companies/exxon-mobil/,0.094002306805075,0.082741116751269
General Electric,Industrials,Conglomerates,North America,United States,259.6,143.3,14.8,656.6,7,http://www.forbes.com/companies/general-electric/,0.022540359427353,0.103279832519191
Wells Fargo,Financials,Major Banks,North America,United States,261.4,88.7,21.9,1543,8,http://www.forbes.com/companies/wells-fargo/,0.0141931302657161,0.246899661781285
Bank of China,Financials,Major Banks,Asia,China,124.2,105.1,25.5,2291.8,9,http://www.forbes.com/companies/bank-of-china/,0.0111266253599791,0.242626070409134
PetroChina,Energy,Oil & Gas Operations,Asia,China,202,328.5,21.1,386.9,10,http://www.forbes.com/companies/petrochina/,0.0545360558283794,0.0642313546423136
Royal Dutch Shell,Energy,Oil & Gas Operations,Europe,Netherlands,234.1,451.4,16.4,357.5,11,http://www.forbes.com/companies/royal-dutch-shell/,0.0458741258741259,0.0363314133805937
Toyota Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,193.5,255.6,18.8,385.5,12,http://www.forbes.com/companies/toyota-motor/,0.0487678339818418,0.0735524256651017
Bank of America,Financials,Major Banks,North America,United States,183.3,101.5,11.4,2113.8,13,http://www.forbes.com/companies/bank-of-america/,0.00539313085438547,0.112315270935961
HSBC Holdings,Financials,Major Banks,Europe,United Kingdom,192.6,79.6,16.3,2671.3,14,http://www.forbes.com/companies/hsbc-holdings/,0.00610189795230786,0.204773869346734
Apple,Information Technology,Computer Hardware,North America,United States,483.1,173.8,37,225.2,15,http://www.forbes.com/companies/apple/,0.164298401420959,0.212888377445339
Citigroup,Financials,Major Banks,North America,United States,145.1,94.1,13.4,1883.4,16,http://www.forbes.com/companies/citigroup/,0.00711479239672932,0.14240170031881
BP,Energy,Oil & Gas Operations,Europe,United Kingdom,148.8,379.2,23.6,305.7,17,http://www.forbes.com/companies/bp/,0.0771998691527642,0.0622362869198312
Chevron,Energy,Oil & Gas Operations,North America,United States,227.2,211.8,21.4,253.8,18,http://www.forbes.com/companies/chevron/,0.0843183609141056,0.101038715769594
