Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Year
ICBC,229.805,151.381,41.9837,3473.238,1,Financials,Major Banks,Asia,China,2017
China Construction Bank,200.458,134.242,34.9814,3016.578,2,Financials,Major Banks,Asia,China,2017
Berkshire Hathaway,409.908,222.935,24.074,620.854,3,Financials,Investment Services,North America,United States,2017
JPMorgan Chase,306.616,102.494,24.231,2512.986,4,Financials,Major Banks,North America,United States,2017
Wells Fargo,274.385,97.573,21.938,1943.443,5,Financials,Major Banks,North America,United States,2017
Agricultural Bank of China,149.229,115.698,27.7975,2816.039,6,Financials,Regional Banks,Asia,China,2017
Bank of America,231.876,92.214,16.563,2196.847,7,Financials,Major Banks,North America,United States,2017
Bank of China,141.321,113.107,24.8566,2611.539,8,Financials,Major Banks,Asia,China,2017
Apple,752.039,217.481,45.217,331.141,9,Information Technology,Computer Hardware,North America,United States,2017
Toyota Motor,171.85,249.902,17.1115,412.496,10,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,2017
AT&T,249.286,163.786,12.976,403.821,11,Telecommunication Services,Telecommunications services,North America,United States,2017
Citigroup,164.316,84.038,14.717,1795.099,12,Financials,Major Banks,North America,United States,2017
ExxonMobil,343.165,197.518,7.84,330.314,13,Energy,Oil & Gas Operations,North America,United States,2017
General Electric,261.174,119.69,10.02,365.183,14,Industrials,Conglomerates,North America,United States,2017
Samsung Electronics,254.303,173.995,19.3207,217.068,15,Information Technology,Semiconductors,Asia,South Korea,2017
Ping An Insurance Group,100.811,106.606,9.4603,801.022,16,Financials,Diversified Insurance,Asia,China,2017
Wal-Mart Stores,221.106,485.252,13.643,198.825,17,Consumer Discretionary,Discount Stores,North America,United States,2017
Verizon Communications,198.352,125.98,13.127,244.18,18,Telecommunication Services,Telecommunications services,North America,United States,2017
Microsoft,507.544,85.27,16.768,224.61,19,Information Technology,Software & Programming,North America,United States,2017
Royal Dutch Shell,228.793,234.751,4.6507,411.275,20,Energy,Oil & Gas Operations,Europe,Netherlands,2017
Allianz,83.721,115.725,7.614,935.871,21,Financials,Diversified Insurance,Europe,Germany,2017
China Mobile,225.308,106.763,16.4234,218.864,21,Telecommunication Services,Telecommunications services,Asia,Hong Kong,2017
BNP Paribas,80.499,74.702,8.3706,2190.672,23,Financials,Major Banks,Europe,France,2017
Alphabet,579.499,89.92,19.478,167.497,24,Information Technology,Computer Services,North America,United States,2017
China Petroleum & Chemical,105.122,255.722,6.9866,216.711,25,Energy,Oil & Gas Operations,Asia,China,2017
